0,0
0,0
1,1
1,1
2,2
2,2
3,3
3,3
4,4
4,4
5,5
6,6
6,6
7,7
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
42,42
45,45
46,46
47,47
48,48
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
60,60
61,61
62,62
63,63
64,64
65,65
66,66
68,68
69,69
70,70
71,71
72,72
73,73
74,74
75,75
77,77
78,78
80,80
81,81
82,82
83,83
85,85
86,86
87,87
88,88
90,90
91,91
93,93
95,95
96,96
97,97
98,98
99,99
1201,1201
4444,4444
4611,4611
4911,4911
10000,10000
22222,22222
549161,549161
123456789,123456789
_,_
0f,of
0k,ok
0nta2,onta
0rang2,orang-orang
10jt,10 juta
10kg,10 kilogram
10rb,10 ribu
10th,10 tahun
10thn,10thn
10thun,10 tahun
15jtan,15jtan
15tahun,15 tahun
1atau,1 atau
1bakal,satu bakal
1jari,1 jari
1juta,satu juta
1miliar,1 miliar
1thn,1 tahun
1x,1 kali
200juta,200 juta
20abat,20abat
20milliyar,20 miliar
20thn,20 tahun
2berulang,dua berulang
2itu,2 itu
2juta,2 juta
2klu,dua kali
2koper,2koper
2naik,2naik
2nya,dua
2sikat,dua sikat
2x,2 kali
2xan,dua
3g,3 gram
3x,3 kali
400ribu,400 ribu
40hr,40 hari
40thn,40 tahun
4detik,4 detik
4g,4 gram
4tahun,4 tahun
4x,4 kali
5000mah,5000mah
500thn,500 tahun
5t,5t
600ribu,600 ribu
6g,6g
6m,6m
7c,7c
7juta,7 juta
a,a
aaaaahhhh,ah
aaaahhhh,ah
aaaahhhj,ah
aaacchhh,ah
aaahhh,ah
aaalamin,alam
aaamiin,amin
aaamin,aaamin
aaamit,aaamit
aaammiiinnn,amin
aaasssuuuuudahlah,ah sudahlah
aagim,aa gym
aahhhhh,ah
aajaaa,aja
aamin3xyra,aamin3xyra
aamini,amin
aapasih,aapasih
ababil,ababil
abal2an,abal
abal2x,abal
abalan,abal
abang2,abang
abdulllah,abdulllah
abesss,abesss
abis2,habis
abisan,habis
abisi,habis
abisin,habis
abisny,habis
abisnya,habis
abisnye,habis
abiss,habis
abisss,habis
abizzz,abis
abizzzzz,habis
abubakar,abubakar
acara2,acara
achirnya,akhir
ada2in,ada
adakah,ada
adakan,ada
adalah,adalah
adalahbfajar,adalah fajar
adalaj,adalah
adalsh,adalah
adaorang,ada orang
adaptasi,adaptasi
adeeem,adeeem
adegan,adegan
adehhh,adehhh
adekku,adek
